City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,ziro,27.6333,93.8333,41.74,89,88,2.28,IN,1709170137
108,kone,-21.0595,164.8658,89.31,53,52,8.86,NC,1709170137
109,nova sintra,14.8667,-24.7167,68.74,82,6,9.17,CV,1709170137
110,gufeng,26.9083,118.9819,49.66,98,100,3.22,CN,1709170137
111,afaahiti,-17.75,-149.2833,84.07,76,38,4.79,PF,1709170137
112,port lincoln,-34.7333,135.8667,69.55,63,100,6.49,AU,1709170138
113,iron mountain,45.8202,-88.066,11.14,60,0,8.05,US,1709170138
114,al kharijah,25.4514,30.5464,60.89,39,0,7.72,EG,1709170138
115,tiksi,71.6872,128.8694,-1.25,85,100,15.28,RU,1709170138
116,ta`u,-14.2336,-169.5144,84.15,78,28,14.85,AS,1709170139
117,taunggyi,20.7833,97.0333,59.97,40,0,3.29,MM,1709169915
118,malvan,16.0667,73.4667,78.03,63,75,5.88,IN,1709170139
119,namibe,-15.1961,12.1522,77.54,70,100,7.23,AO,1709170139
120,faya-largeau,17.9257,19.1043,76.95,13,84,12.06,TD,1709170139
121,vila franca do campo,37.7167,-25.4333,59.41,85,10,7.52,PT,1709170140
122,paoua,7.2427,16.4406,79.43,31,35,1.77,CF,1709170140
123,remire-montjoly,4.9167,-52.2667,75.24,88,0,2.3,GF,1709170140
124,bredasdorp,-34.5322,20.0403,64.02,96,7,6.73,ZA,1709170140
125,warman,52.3168,-106.5679,1.31,70,40,18.41,CA,1709170140
126,ust'-kut,56.7938,105.7672,1.44,95,100,5.01,RU,1709170141
127,mar del plata,-38.0023,-57.5575,71.62,76,75,11.01,AR,1709170141
128,esfarayen,37.0765,57.5101,22.66,66,100,8.84,IR,1709170039
129,alta,69.9689,23.2717,33.06,74,20,12.66,NO,1709170141
130,nuuk,64.1835,-51.7216,12.81,73,75,11.5,GL,1709170142
131,shimoda,34.6667,138.95,52.16,60,100,4.85,JP,1709170142
132,arraial do cabo,-22.9661,-42.0278,80.56,83,75,5.75,BR,1709170142
133,ixtapa,20.7,-105.2,76.23,83,75,12.66,MX,1709170142
134,brisas de zicatela,15.8369,-97.0419,82.92,74,0,6.91,MX,1709170143
135,touros,-5.1989,-35.4608,80.35,82,100,7.25,BR,1709170143
